Nifty 50 Change,Mutual Funds Changes
0,0
0,0
271.65,237.16
179.55,89.12
120.6,128.29
-179.38,-58.98
66.8,69.67
0,0
0,0
190.6,106.7
52.45,38.18
156.6,26.18
45.45,53.78
-2.05,103.44
0,0
0,0
52.35,55.35
-195.05,-281.92
-174.65,-144.08
-181.4,-77.9
-139.85,-271.01
0,0
0,0
-468.05,-655.9
128.85,176.5
0,0
-167.8,-187.04
-8.2,66.99
0,0
0,0
237.9,220.14
237,272.96
203.15,251.61
-219.8,-123.48
-43.9,3.19
0,0
0,0
-302.7,-246.45
53.15,-99.6
197.05,203.61
142.05,86.83
-231.1,-287.6
0,0
0,0
-531.95,-627.91
509.95,452.64
-30.25,-31.81
-17.6,-70.9
-28.3,-135.01
0,0
0,0
-69.65,-227.93
-114.45,-162.72
-28.95,59.71
-815.3,-926.59
410.45,631.64
0,0
0,0
135.5,193.84
0,0
-187.95,-109.37
-107.9,-44.36
-252.7,-381.22
0,0
0,0
-382.2,-434.64
150.3,220.24
331.9,374.77
249.55,268.61
35.55,46.39
0,0
0,0
240.85,101.71
-208.3,-146.04
312.35,337.1
311.7,331.53
0,0
0,0
0,0
-169.45,-120.95
197.9,122.76
-69.85,-35.08
-22.9,151.88
-69.75,-24.98
0,0
0,0
60.75,24.82
103.3,207.69
172.95,201.06
-33.5,16.21
205.7,259.06
0,0
0,0
382.95,327.65
-96,27.5
-149.75,-35.76
-168.1,-137.71
144.8,294.41
0,0
0,0
-109.4,33.66
-144.65,-271.66
-54.65,10.38
0,0
0,0
0,0
0,0
-302,-196.03
-215,-289.73
177.9,62.63
258.55,306.36
-220.65,-203.92
0,0
0,0
-218,-367.67
246.85,380.23
-162.4,-233.78
206.65,133.32
-142.5,-186.56
0,0
0,0
-33.45,-26.39
0,0
-391.5,-668.91
5.05,69.16
-271.4,-468.91
0,0
0,0
-109.4,-281.36
-61.8,-354.82
-72.95,-298.34
-359.1,-410.62
-25.85,-4.8
0,0
0,0
60.15,267.61
417,590.8
-19,18.75
-430.9,-489.38
456.75,463.99
0,0
0,0
-51.45,-119.13
-89.55,-172.23
-94.6,-321.04
144.35,226.29
182.3,221.54
0,0
0,0
308.95,407.56
-76.85,92.61
-61.8,-47.72
105.25,107.97
-43.7,-222.52
0,0
0,0
-14.75,-95.95
-153.2,-185.82
-60.1,-18.12
126,101.55
-276.3,-242.23
0,0
0,0
-427.4,-626.66
-42.3,31.78
-39.95,66.58
-331.55,-481.24
-67.1,-175.18
0,0
0,0
56.65,-166.45
288.65,463.6
-225.5,-318.14
143.35,216.7
142.6,279.28
0,0
0,0
132.8,185.11
18.15,52.65
-51.1,-102.41
-18.85,-129.8
-28.2,87.65
0,0
0,0
83.3,159.69
-24.5,-18.42
178.95,293.74
143.1,208.89
87.7,102.02
0,0
0,0
-4.6,121.25
-157.7,-166.65
-91.65,-11.82
-28,-43.03
110.55,154.13
0,0
0,0
229.3,341.21
62.05,95.41
180.3,92.33
84.4,255.42
114.2,52.1
0,0
0,0
-88.45,-31.33
-147.15,-182.98
158.6,250.38
287.8,373.97
228.65,267.27
0,0
0,0
181.8,324.17
5.4,58.61
42.7,-49.06
-6.15,-7.22
15.5,128.64
0,0
0,0
127.6,173.04
0,0
9.65,-93.15
124.25,205.08
39.15,61.07
0,0
0,0
0,0
127.1,196.3
119,199.12
12.25,80.59
-198.05,-162.35
0,0
0,0
-267.75,-470.95
86.8,145.84
27.45,169.66
-82.5,-106.2
36.45,174.04
0,0
0,0
-246,-241.1
342.2,552.4
0,0
-216.5,-48.6
-3.35,173.48
0,0
0,0
126.35,165.44
-10.2,-35.64
-31.2,118.37
174.35,229.29
34.6,26.47
0,0
0,0
103,183.72
133.7,170.9
-66.3,144.67
-126.35,43.94
-287.8,-722.34
0,0
0,0
91.4,269.88
194,281.66
-97.9,-254.4
-88.55,15.84
-302.45,-477.68
0,0
0,0
-311.05,-724.39
-8.9,-22.81
-148.8,-238.14
-58.3,-0.9
279.95,373.03
0,0
0,0
-207,-418.56
386.95,620.29
0,0
57.5,160.87
-17.15,-10.05
0,0
0,0
-158.9,-180.71
-226.5,-475.23
140.05,226.08
-109.25,-234.44
171.35,129.9
0,0
0,0
126.1,224.42
175.15,230.01
25.3,2.47
51.7,169.83
12.35,-227.73
0,0
0,0
154.45,0
-74.4,112.02
0,0
80.6,94.23
49.85,-25.77
0,0
0,0
225.4,288.6
133.2,242.65
-62.55,-59.27
-30.15,-24.78
64.45,166.88
0,0
0,0
85.65,51.35
0,51.35
-45.8,9.14
-128.8,-326.54
321.5,194.85
0,0
0,0