scrip_name,quantity,buy_average,buy_value,sell_average,sell_value,realized_pl,transaction_date
Tata Teleservices (Maharashtra),100,36.41,3641.0,37.1,3710.0,69.0,01/10/2021
NMDC,100,143.425,14342.5,145.8,14580.0,237.5,04/10/2021
General Insurance ,30,141.69,4250.7,146.0,4380.0,129.3,04/10/2021
Granules India,40,329.99,13199.6,333.0,13320.0,120.4,04/10/2021
Vedanta,25,287.98,7199.5,293.0,7325.0,125.5,04/10/2021
Hindustan Copper,100,117.29,11729.0,125.6,12560.0,831.0,04/10/2021
Exide Industries,75,180.3,13522.5,181.2,13590.0,67.5,05/10/2021
Subex,50,55.12,2756.0,55.7,2785.0,29.0,05/10/2021
General Insurance ,50,142.78,7139.0,146.0,7300.0,161.0,05/10/2021
Hindustan Zinc,10,309.44,3094.4,315.0,3150.0,55.6,05/10/2021
Steel Authority of India,81,119.17,9652.77,121.5,9841.5,188.73,06/10/2021
Datamatics Global Services,3,307.65,922.95,330.0,990.0,67.05,06/10/2021
Tata Coffee,10,204.15,2041.5,210.0,2100.0,58.5,06/10/2021
Coal India,5,163.4,817.0,191.65,958.25,141.25,07/10/2021
Tata Motors DVR,9,182.98,1646.82,194.65,1751.85,105.03,07/10/2021
The Indian Hotels Company,5,166.86,834.3,196.95,984.75,150.45,07/10/2021
Samvardhana Motherson International,50,224.94,11247.0,228.0,11400.0,153.0,07/10/2021
Central Depository Services (India),5,1298.18,6490.9,1363.0,6815.0,324.1,11/10/2021
KNR Constructions,80,294.93,23594.4,299.0,23920.0,325.6,11/10/2021
NMDC,10,144.44,1444.4,152.0,1520.0,75.6,11/10/2021
Tata Steel BSL,50,87.21,4360.5,87.8,4390.0,29.5,13/10/2021
Steel Authority of India,100,118.93,11893.0,119.6,11960.0,67.0,13/10/2021
NTPC,38,144.06,5474.28,146.5,5567.0,92.72,13/10/2021
KNR Constructions,35,309.99,10849.65,312.2,10927.0,77.35,13/10/2021
Tata Motors DVR,5,201.28,1006.4,236.0,1180.0,173.6,13/10/2021
Steel Authority of India,350,118.69,41541.5,121.0,42350.0,808.5,13/10/2021
Ambuja Cements,85,409.74,34827.9,411.5,34977.5,149.6,14/10/2021
Adani Power,140,110.52,15472.8,112.0,15680.0,207.2,14/10/2021
Tata Steel BSL,50,86.03,4301.5,90.5,4525.0,223.5,14/10/2021
Zomato,100,135.0,13500.0,137.2,13720.0,220.0,18/10/2021
Tata Power Company,10,218.36,2183.6,253.65,2536.5,352.9,18/10/2021
Zomato,100,137.24,13724.0,144.5,14450.0,726.0,18/10/2021
JK Tyre & Industries,20,152.56,3051.2,159.5,3190.0,138.8,18/10/2021
General Insurance ,101,147.39,14886.39,149.2,15069.2,182.81,19/10/2021
Samvardhana Motherson International,50,240.82,12041.0,243.5,12175.0,134.0,19/10/2021
NTPC,10,144.7,1447.0,149.5,1495.0,48.0,20/10/2021
Tata Motors,1,292.35,292.35,495.25,495.25,202.9,21/10/2021
DLF,1,337.51,337.51,410.0,410.0,72.49,21/10/2021
Tata Motors,1,292.47,292.47,490.6,490.6,198.13,21/10/2021
Allcargo Logistics,10,269.93,2699.3,271.75,2717.5,18.2,22/10/2021
Zomato,70,139.97,9797.9,141.2,9884.0,86.1,22/10/2021
VRL Logistics,2,359.37,718.74,381.0,762.0,43.26,26/10/2021
KPIT Technologies,1,272.77,272.77,322.0,322.0,49.23,26/10/2021
Hindustan Petroleum Corporation,1,267.29,267.29,332.75,332.75,65.46,26/10/2021
Trident,3,24.0,72.0,40.0,120.0,48.0,26/10/2021
Cipla,50,918.05,45902.5,922.7,46135.0,232.5,27/10/2021
Gabriel India,2,143.79,287.58,163.5,327.0,39.42,27/10/2021
Praj Industries,25,330.96,8274.0,334.0,8350.0,76.0,27/10/2021
VRL Logistics,1,334.0,334.0,384.0,384.0,50.0,28/10/2021
Ambuja Cements,15,402.98,6044.7,405.5,6082.5,37.8,28/10/2021
Steel Authority of India,95,116.93,11108.35,124.4,11818.0,709.65,01/11/2021
Tata Motors DVR,1,182.0,182.0,252.45,252.45,70.45,01/11/2021
General Insurance ,121,137.18,16598.78,138.0,16698.0,99.22,01/11/2021
Indian Oil Corporation,85,131.53,11180.05,132.95,11300.75,120.7,02/11/2021
The Indian Hotels Company,48,204.81,9830.88,207.5,9960.0,129.12,02/11/2021
Power Grid Corporation of India,30,185.0,5550.0,189.0,5670.0,120.0,03/11/2021
Samvardhana Motherson International,10,235.29,2352.9,238.35,2383.5,30.6,04/11/2021
NMDC,20,142.72,2854.4,145.65,2913.0,58.6,08/11/2021
Zomato,201,135.43,27221.43,137.0,27537.0,315.57,08/11/2021
Welspun Corp,150,131.36,19704.0,132.55,19882.5,178.5,08/11/2021
Shree Renuka Sugars,50,27.09,1354.5,28.05,1402.5,48.0,09/11/2021
Power Finance Corporation,50,138.99,6949.5,140.5,7025.0,75.5,09/11/2021
Power Grid Corporation of India,110,185.11,20362.1,186.5,20515.0,152.9,09/11/2021
NCC,30,79.38,2381.4,81.1,2433.0,51.6,09/11/2021
NMDC,60,140.63,8437.8,142.4,8544.0,106.2,09/11/2021
Steel Authority of India,15,115.85,1737.75,126.5,1897.5,159.75,10/11/2021
EIH Hotels,50,141.0,7050.0,143.5,7175.0,125.0,11/11/2021
Zomato,100,133.35,13335.0,135.5,13550.0,215.0,11/11/2021
NCC,100,81.84,8184.0,82.5,8250.0,66.0,12/11/2021
Steel Authority of India,53,123.84,6563.52,124.5,6598.5,34.98,12/11/2021
General Insurance ,170,144.21,24515.7,147.0,24990.0,474.3,15/11/2021
Samvardhana Motherson International,70,240.64,16844.8,245.0,17150.0,305.2,15/11/2021
NCC,100,79.24,7924.0,80.5,8050.0,126.0,16/11/2021
The Indian Hotels Company,52,219.43,11410.36,224.0,11648.0,237.64,16/11/2021
Philips Carbon Black,100,232.99,23299.0,234.5,23450.0,151.0,16/11/2021
Power Grid Corporation of India,150,187.72,28158.0,191.0,28650.0,492.0,16/11/2021
KNR Constructions,32,285.22,9127.04,289.0,9248.0,120.96,16/11/2021
KNR Constructions,18,285.22,5133.96,298.45,5372.1,238.14,23/11/2021
Shipping Corporation Of India,1,135.5,135.5,151.7,151.7,16.2,06/12/2021
Adani Power,100,99.88,9988.0,100.05,10005.0,17.0,06/12/2021
Indiabulls Real Estate,1,153.7,153.7,170.25,170.25,16.55,06/12/2021
Deepak Fertilizers,40,385.26,15410.4,381.0,15240.0,-170.4,10/12/2021
Tata Steel,12,1172.9,14074.8,1185.0,14220.0,145.2,10/12/2021
Deepak Fertilizers,20,376.0,7520.0,380.0,7600.0,80.0,14/12/2021
Orient Cement,20,167.58,3351.6,169.0,3380.0,28.4,14/12/2021
NCC,100,68.78,6878.0,69.8,6980.0,102.0,15/12/2021
Steel Authority of India,102,116.53,11886.06,116.5,11883.0,-3.06,15/12/2021
Gabriel India,20,137.5,2750.0,138.5,2770.0,20.0,16/12/2021
Ashok Leyland,40,125.16,5006.4,126.2,5048.0,41.6,23/12/2021
Zomato,106,134.47,14253.82,134.7,14278.2,24.38,30/12/2021
Steel Authority of India,100,106.25,10625.0,107.2,10720.0,95.0,30/12/2021
Quick Heal Technologies,73,254.34,18566.82,255.0,18615.0,48.18,31/12/2021
Steel Authority of India,150,105.87,15880.5,107.0,16050.0,169.5,31/12/2021
Coal India,100,154.78,15478.0,156.3,15630.0,152.0,04/01/2022
GAIL (India),12,134.39,1612.68,135.0,1620.0,7.32,05/01/2022
Coal India,50,154.6,7730.0,155.0,7750.0,20.0,06/01/2022
Bank of Baroda,100,90.61,9061.0,91.0,9100.0,39.0,10/01/2022
M & M Financial Services,100,155.99,15599.0,156.3,15630.0,31.0,11/01/2022
Coal India,100,164.48,16448.0,165.0,16500.0,52.0,13/01/2022
Steel Authority of India,100,104.9,10490.0,106.2,10620.0,130.0,13/01/2022
NCC,165,77.22,12741.3,78.0,12870.0,128.7,14/01/2022
The Indian Hotels Company,80,208.26,16660.8,208.5,16680.0,19.2,14/01/2022
Indian Oil Corporation,150,124.19,18628.5,125.0,18750.0,121.5,18/01/2022
NTPC,200,136.96,27392.0,141.5,28300.0,908.0,28/01/2022
NTPC,100,138.94,13894.0,143.5,14350.0,456.0,28/01/2022
Bajaj Holdings & Investment,1,5106.32,5106.32,5230.0,5230.0,123.68,01/02/2022
NTPC,70,139.46,9762.2,142.5,9975.0,212.8,02/02/2022
Power Finance Corporation,100,119.04,11904.0,124.0,12400.0,496.0,02/02/2022
Power Finance Corporation,250,118.98,29745.0,122.0,30500.0,755.0,10/02/2022
Indian Oil Corporation,158,119.98,18956.84,121.5,19197.0,240.16,11/02/2022
Indian Oil Corporation,105,116.17,12197.85,120.35,12636.75,438.9,16/02/2022
Indian Oil Corporation,100,120.14,12014.0,122.0,12200.0,186.0,16/02/2022
Indian Oil Corporation,43,116.24,4998.32,119.0,5117.0,118.68,10/03/2022
Indian Oil Corporation,50,115.65,5782.5,121.0,6050.0,267.5,14/03/2022
Orient Cement,50,147.09,7354.5,149.5,7475.0,120.5,17/03/2022
Tata Power Company,5,222.46,1112.3,238.25,1191.25,78.95,24/03/2022
Steel Authority of India,50,95.08,4754.0,104.7,5235.0,481.0,25/03/2022
NTPC,4,127.75,511.0,135.0,540.0,29.0,28/03/2022
The Indian Hotels Company,1,192.58,192.58,244.0,244.0,51.42,30/03/2022
Indian Oil Corporation,100,118.65,11865.0,120.75,12075.0,210.0,01/04/2022
Power Finance Corporation,132,114.01,15049.32,116.0,15312.0,262.68,02/04/2022
Steel Authority of India,500,104.14,52070.0,105.25,52625.0,555.0,04/04/2022
NCC,370,69.82,25833.4,70.0,25900.0,66.6,04/04/2022
Power Finance Corporation,200,119.58,23916.0,120.2,24040.0,124.0,05/04/2022
Steel Authority of India,500,109.67,54835.0,111.7,55850.0,1015.0,06/04/2022
Welspun India,100,96.01,9601.0,97.5,9750.0,149.0,12/04/2022
Welspun India,100,94.0,9400.0,96.0,9600.0,200.0,13/04/2022
The Federal Bank,100,98.0,9800.0,99.5,9950.0,150.0,13/04/2022
Welspun India,90,96.0,8640.0,97.2,8748.0,108.0,13/04/2022
NCC,300,71.08,21324.0,72.0,21600.0,276.0,18/04/2022
Steel Authority of India,101,105.54,10659.54,107.0,10807.0,147.46,18/04/2022
Tata Consumer Products,50,818.79,40939.5,827.0,41350.0,410.5,19/04/2022
Tata Consumer Products,50,818.79,40939.5,830.4,41520.0,580.5,19/04/2022
The Federal Bank,100,96.92,9692.0,98.2,9820.0,128.0,19/04/2022
The Federal Bank,100,96.9,9690.0,98.1,9810.0,120.0,19/04/2022
The Federal Bank,150,95.83,14374.5,97.5,14625.0,250.5,26/04/2022
The Federal Bank,200,96.71,19342.0,97.7,19540.0,198.0,28/04/2022
Tata Consumer Products,50,818.0,40900.0,823.0,41150.0,250.0,29/04/2022
Quick Heal Technologies,100,181.4,18140.0,183.5,18350.0,210.0,23/05/2022
The Federal Bank,200,85.0,17000.0,86.0,17200.0,200.0,27/05/2022
The Indian Hotels Company,30,225.01,6750.3,229.0,6870.0,119.7,30/05/2022
Indian Oil Corporation,100,114.36,11436.0,115.2,11520.0,84.0,30/05/2022
Power Finance Corporation,300,108.68,32604.0,110.7,33210.0,606.0,08/06/2022
Bajaj Holdings & Investment,2,4919.38,9838.76,5000.0,10000.0,161.24,10/06/2022
Welspun India,500,76.54,38270.0,77.0,38500.0,230.0,27/06/2022
Welspun India,300,70.85,21255.0,72.0,21600.0,345.0,04/07/2022
Quick Heal Technologies,400,161.24,64496.0,163.0,65200.0,704.0,11/07/2022
Welspun India,100,69.93,6993.0,71.2,7120.0,127.0,12/07/2022
Orient Cement,100,113.8,11380.0,115.2,11520.0,140.0,13/07/2022
Quick Heal Technologies,225,174.53,39269.25,192.52,43317.0,4047.75,18/07/2022
Welspun India,100,69.93,6993.0,71.0,7100.0,107.0,18/07/2022
Orient Cement,115,113.48,13050.2,114.6,13179.0,128.8,20/07/2022
Bajaj Holdings & Investment,1,4750.0,4750.0,4820.0,4820.0,70.0,20/07/2022
Orient Cement,230,112.82,25948.6,115.3,26519.0,570.4,20/07/2022
Quick Heal Technologies,50,197.5,9875.0,203.5,10175.0,300.0,21/07/2022
Power Finance Corporation,100,111.0,11100.0,112.2,11220.0,120.0,22/07/2022
Indraprastha Gas,30,368.83,11064.9,376.5,11295.0,230.1,22/07/2022
Bandhan Bank,50,272.5,13625.0,273.5,13675.0,50.0,27/07/2022
Tata Coffee,100,217.26,21726.0,218.5,21850.0,124.0,27/07/2022
Tata Coffee,100,220.5,22050.0,221.5,22150.0,100.0,29/07/2022
Quick Heal Technologies,100,201.25,20125.0,213.0,21300.0,1175.0,08/08/2022
Indraprastha Gas,180,356.38,64148.4,373.5,67230.0,3081.6,10/08/2022
Tata Steel,50,106.86,5343.0,108.5,5425.0,82.0,10/08/2022
Power Finance Corporation,110,117.86,12964.6,119.0,13090.0,125.4,11/08/2022
Power Finance Corporation,50,119.17,5958.5,121.2,6060.0,101.5,12/08/2022
Power Finance Corporation,450,119.17,53626.5,121.3,54585.0,958.5,12/08/2022
Welspun India,500,79.0,39500.0,80.0,40000.0,500.0,17/08/2022
Quick Heal Technologies,100,210.0,21000.0,214.0,21400.0,400.0,17/08/2022
Orient Cement,500,115.5,57750.0,116.6,58300.0,550.0,17/08/2022
Orient Cement,500,119.69,59845.0,120.5,60250.0,405.0,18/08/2022
Welspun India,500,76.78,38390.0,78.3,39150.0,760.0,23/08/2022
REC,415,104.42,43334.3,105.5,43782.5,448.2,23/08/2022
REC,450,104.8,47160.0,106.2,47790.0,630.0,25/08/2022
Power Finance Corporation,300,117.5,35250.0,119.3,35790.0,540.0,25/08/2022
Power Finance Corporation,500,119.5,59750.0,121.0,60500.0,750.0,25/08/2022
Tata Steel,500,106.5,53250.0,108.6,54300.0,1050.0,26/08/2022
REC,85,104.42,8875.7,109.2,9282.0,406.3,26/08/2022
Ambuja Cements,100,401.3,40130.0,403.5,40350.0,220.0,29/08/2022
Tata Steel,450,106.0,47700.0,107.5,48375.0,675.0,06/09/2022
Motherson Sumi System,200,122.0,24400.0,124.75,24950.0,550.0,09/09/2022
Welspun India,1000,77.81,77810.0,79.0,79000.0,1190.0,12/09/2022
Tata Steel,200,106.0,21200.0,107.35,21470.0,270.0,12/09/2022
Power Finance Corporation,200,115.45,23090.0,117.0,23400.0,310.0,15/09/2022
Tata Steel,500,104.24,52120.0,105.5,52750.0,630.0,07/11/2022
Power Finance Corporation,250,117.0,29250.0,119.75,29937.5,687.5,11/11/2022
Power Finance Corporation,500,120.4,60200.0,121.5,60750.0,550.0,14/11/2022
Power Finance Corporation,250,119.96,29990.0,121.2,30300.0,310.0,17/11/2022
Welspun India,190,76.94,14618.6,78.0,14820.0,201.4,24/11/2022
REC,500,105.6,52800.0,105.7,52850.0,50.0,25/11/2022
REC,525,105.78,55534.5,106.25,55781.25,246.75,25/11/2022
Quick Heal Technologies,250,181.29,45322.5,182.7,45675.0,352.5,25/11/2022
Quick Heal Technologies,100,180.21,18021.0,181.0,18100.0,79.0,25/11/2022
NMDC,350,117.0,40950.0,118.5,41475.0,525.0,29/11/2022
NMDC,500,117.19,58595.0,118.5,59250.0,655.0,30/11/2022
Quick Heal Technologies,100,179.0,17900.0,180.5,18050.0,150.0,30/11/2022
The Federal Bank,100,131.2,13120.0,133.1,13310.0,190.0,01/12/2022
The Federal Bank,100,131.45,13145.0,133.2,13320.0,175.0,01/12/2022
Quick Heal Technologies,100,179.0,17900.0,181.5,18150.0,250.0,01/12/2022
Bajaj Finserv,10,1630.0,16300.0,1642.0,16420.0,120.0,02/12/2022
Bajaj Finserv,20,1632.5,32650.0,1650.0,33000.0,350.0,02/12/2022
Quick Heal Technologies,100,179.0,17900.0,181.65,18165.0,265.0,02/12/2022
Quick Heal Technologies,100,180.1,18010.0,181.7,18170.0,160.0,02/12/2022
HDFC Bank,10,1600.0,16000.0,1613.0,16130.0,130.0,05/12/2022
Orient Cement,100,130.0,13000.0,132.0,13200.0,200.0,08/12/2022
Orient Cement,100,129.36,12936.0,131.8,13180.0,244.0,08/12/2022
Quick Heal Technologies,100,180.0,18000.0,181.0,18100.0,100.0,12/12/2022
Welspun India,200,79.2,15840.0,80.2,16040.0,200.0,12/12/2022
Orient Cement,120,128.5,15420.0,130.0,15600.0,180.0,12/12/2022
Bajaj Finserv,20,1615.0,32300.0,1625.0,32500.0,200.0,14/12/2022
Tata Steel,110,110.73,12180.3,112.0,12320.0,139.7,14/12/2022
REC,50,111.42,5571.0,113.8,5690.0,119.0,14/12/2022
Bajaj Finserv,10,1615.0,16150.0,1630.0,16300.0,150.0,15/12/2022
Bajaj Finserv,28,1614.99,45219.72,1630.0,45640.0,420.28,15/12/2022
Tata Steel,210,110.52,23209.2,112.0,23520.0,310.8,19/12/2022
Bajaj Finserv,30,1607.0,48210.0,1625.0,48750.0,540.0,19/12/2022
Orient Cement,100,129.0,12900.0,130.5,13050.0,150.0,21/12/2022
Orient Cement,150,123.14,18471.0,124.0,18600.0,129.0,22/12/2022
The Federal Bank,150,128.06,19209.0,128.3,19245.0,36.0,26/12/2022
Tata Steel,250,110.6,27650.0,111.0,27750.0,100.0,27/12/2022
Tata Steel,200,111.5,22300.0,113.15,22630.0,330.0,30/12/2022
The Indian Hotels Company,40,312.78,12511.2,317.0,12680.0,168.8,30/12/2022
Steel Authority of India,1000,88.91,88910.0,89.1,89100.0,190.0,11/01/2023
Steel Authority of India,200,88.7,17740.0,89.5,17900.0,160.0,13/01/2023
Steel Authority of India,200,86.5,17300.0,88.6,17720.0,420.0,18/01/2023
