Nifty 50 Change,NAV Changes in â‚¹
0,0
0,0
271.65,3.44
179.55,0.21
120.6,2.08
-179.38,-0.73
66.8,0.99
0,0
0,0
190.6,3.38
52.45,0.45
156.6,1.55
45.45,1.9
-2.05,2.15
0,0
0,0
52.35,0.56
-195.05,-4.94
-174.65,-0.95
-181.4,-0.54
-139.85,-3.61
0,0
0,0
-468.05,-10.07
128.85,4.53
0,0
-167.8,-1.22
-8.2,0.91
0,0
0,0
237.9,2.49
237,4.44
203.15,3.34
-219.8,-0.58
-43.9,0.03
0,0
0,0
-302.7,-2.19
53.15,-1.95
197.05,3.06
142.05,1.11
-231.1,-3.5
0,0
0,0
-531.95,-11.301
509.95,6.72
-30.25,-0.37
-17.6,-1.65
-28.3,-1.62
0,0
0,0
-69.65,-4.89
-114.45,-3.34
-28.95,1.07
-815.3,-13.71
410.45,8.32
0,0
0,0
135.5,3.04
0,0
-187.95,-0.76
-107.9,0.32
-252.7,-4.57
0,0
0,0
-382.2,-4.89
150.3,2.77
331.9,5.26
249.55,2.56
35.55,0.69
0,0
0,0
240.85,1.17
-208.3,-2.31
312.35,4.32
311.7,3.68
0,0
0,0
0,0
-169.45,-0.25
197.9,1.67
-69.85,-0.32
-22.9,4.34
-69.75,0.38
0,0
0,0
60.75,1.01
103.3,3.25
172.95,1.74
-33.5,0.8
205.7,3.34
0,0
0,0
382.95,3.54
-96,0.28
-149.75,0.77
-168.1,-1.69
144.8,4.58
0,0
0,0
-109.4,1.01
-144.65,-3.97
-54.65,1
0,0
0,0
0,0
0,0
-302,-1.76
-215,-2.95
177.9,0.26
258.55,4.24
-220.65,-3.32
0,0
0,0
-218,-5.83
246.85,5.62
-162.4,-1.57
206.65,0.72
-142.5,-2.61
0,0
0,0
-33.45,-0.15
0,0
-391.5,-8.37
5.05,1.69
-271.4,-1.98
0,0
0,0
-109.4,-4.35
-61.8,-5.803
-72.95,-3.91
-359.1,-4.74
-25.85,-0.18
0,0
0,0
60.15,3.34
417,8.35
-19,0.55
-430.9,-5.1333
456.75,7.12
0,0
0,0
-51.45,-1.99
-89.55,-2.868
-94.6,-4.34
144.35,2.64
182.3,1.54
0,0
0,0
308.95,4.66
-76.85,0.21
-61.8,-0.13
105.25,2.2
-43.7,-2.42
0,0
0,0
-14.75,-0.5
-153.2,-1.5385
-60.1,-0.9
126,1.16
-276.3,-1.8
0,0
0,0
-427.4,-8.01
-42.3,0.74
-39.95,0.09
-331.55,-6.69
-67.1,-1.45
0,0
0,0
56.65,-4.46
288.65,6.51
-225.5,-4.47
143.35,2.29
142.6,3.53
0,0
0,0
132.8,2.79
18.15,1.3
-51.1,-0.27
-18.85,-1.25
-28.2,-0.33
0,0
0,0
83.3,1.64
-24.5,-0.65
178.95,1.69
143.1,2.96
87.7,1.52
0,0
0,0
-4.6,2.23
-157.7,-1.02
-91.65,-0.67
-28,-0.54
110.55,1.4
0,0
0,0
229.3,3.69
62.05,0.99
180.3,1.23
84.4,2.62
114.2,1.01
0,0
0,0
-88.45,-0.0691
-147.15,-1.62
158.6,2.64
287.8,1.18
228.65,1.91
0,0
0,0
181.8,4.03
5.4,0.19
42.7,-0.5
-6.15,-1.1
15.5,1.33
0,0
0,0
127.6,2.4
0,0
9.65,-0.49
124.25,1.37
39.15,1.14
0,0
0,0
0,0
127.1,2.17
119,1.8
12.25,1.09
-198.05,-0.54
0,0
0,0
-267.75,-4.88
86.8,1.83
27.45,2.09
-82.5,-1.48
36.45,2.22
0,0
0,0
-246,-1.65
342.2,4.57
0,0
-216.5,-0.3761
-3.35,2.41
0,0
0,0
126.35,2.84
-10.2,0.47
-31.2,1.84
174.35,2.49
34.6,0.44
0,0
0,0
103,2.49
133.7,1.88
-66.3,3.32
-126.35,1.28
-287.8,-7.4
0,0
0,0
91.4,3.36
194,3.14
-97.9,-2.87
-88.55,0.3
-302.45,-4.56
0,0
0,0
-311.05,-8.99
-8.9,-0.62
-148.8,-3.36
-58.3,1.07
279.95,3.53
0,0
0,0
-207,-5.37
386.95,5.96
0,0
57.5,3.13
-17.15,0.38
0,0
0,0
-158.9,-1.55
-226.5,-4.84
140.05,2.19
-109.25,-2.72
171.35,1.05
0,0
0,0
126.1,3.19
175.15,2.93
25.3,1.0215
51.7,1.58
12.35,-1.54
0,0
0,0
154.45,0
-74.4,1.79
0,0
80.6,2
49.85,-0.22
0,0
0,0
225.4,2
133.2,1.68
-62.55,-0.23
-30.15,-0.1
64.45,2.27
0,0
0,0
85.65,1.63
0,0
-45.8,1.02
-128.8,-3.24
321.5,0.54
0,0
0,0